City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Humidity,Wind Speed
kapaa,75,us,83,22.08,-159.32,79.83,83,8.05
saint george,20,bm,48,39.45,22.34,83.12,48,3.78
marhaura,40,in,50,25.97,84.87,96.8,50,3.36
longyearbyen,40,sj,65,78.22,15.63,44.6,65,9.17
albany,90,au,100,42.65,-73.75,74.89,100,4.7
hermanus,48,za,84,-34.42,19.24,58.55,84,11.01
balezino,6,ru,89,57.97,53.01,51.37,89,5.53
tasiilaq,5,gl,66,65.61,-37.64,48.2,66,16.11
mataura,33,pf,83,-46.19,168.86,44.01,83,5.99
kavieng,43,pg,73,-2.57,150.8,84.67,73,10.63
jalu,0,ly,13,29.03,21.55,97.27,13,15.46
constantine,20,dz,17,36.36,6.61,95.0,17,14.99
bluff,55,nz,81,-23.58,149.07,54.25,81,8.23
upernavik,100,gl,92,72.79,-56.15,36.43,92,13.29
mattru,92,sl,86,7.62,-11.83,79.09,86,5.3
tigil,0,ru,92,57.8,158.67,45.07,92,4.36
rikitea,5,pf,86,-23.12,-134.97,71.71,86,11.99
rawlins,1,us,19,41.79,-107.24,74.39,19,17.22
port hardy,40,ca,81,50.7,-127.42,53.6,81,5.82
port elizabeth,20,za,62,39.31,-74.98,84.61,62,8.05
ushuaia,40,ar,90,-54.81,-68.31,30.99,90,9.17
harindanga,40,in,89,22.04,88.32,86.0,89,14.99
qaanaaq,100,gl,93,77.48,-69.36,34.09,93,4.65
aviles,100,es,98,43.55,-5.92,64.0,98,5.01
bredasdorp,97,za,82,-34.53,20.04,58.42,82,12.75
butaritari,100,ki,81,3.07,172.79,82.69,81,14.18
lima,90,pe,72,-12.06,-77.04,66.2,72,4.7
sosnovo-ozerskoye,100,ru,95,52.53,111.54,55.33,95,9.4
souillac,0,mu,51,45.6,-0.6,84.54,51,4.7
namibe,8,ao,80,-15.19,12.15,66.49,80,11.41
tumbotino,0,ru,62,56.0,43.02,59.0,62,4.47
nevelsk,75,ru,82,46.67,141.86,60.8,82,8.95
puerto ayora,75,ec,73,-0.74,-90.35,77.0,73,20.8
vaini,72,to,89,15.34,74.49,78.91,89,3.51
impfondo,95,cg,85,1.62,18.06,74.95,85,5.23
ayan,34,ru,81,40.67,33.6,62.53,81,4.65
yellowknife,20,ca,37,62.45,-114.38,71.6,37,8.05
cravo norte,100,co,94,6.3,-70.2,74.77,94,4.9
los llanos de aridane,75,es,73,28.66,-17.92,70.3,73,10.29
coihaique,75,cl,99,-45.58,-72.07,40.93,99,5.82
korem,2,et,38,12.51,39.52,66.67,38,9.06
marzuq,95,ly,26,14.4,46.47,85.03,26,1.48
terney,80,ru,85,45.05,136.61,61.99,85,4.63
vardo,40,no,48,39.62,-77.74,84.11,48,11.41
airai,2,pw,75,-8.93,125.41,65.41,75,6.08
ribeira grande,40,pt,64,38.52,-28.7,69.8,64,11.41
kaitangata,16,nz,79,-46.28,169.85,41.0,79,4.0
bonavista,64,ca,84,48.65,-53.11,52.0,84,4.0
kamogawa,20,jp,94,35.13,140.08,69.4,94,6.93
heerenveen,90,nl,69,52.96,5.93,86.56,69,5.82
san pedro,0,bz,41,-33.68,-59.66,54.55,41,8.99
bastia,0,fr,61,44.6,8.98,84.18,61,2.24
ouadda,100,cf,95,8.07,22.4,70.63,95,4.65
mildura,0,au,100,-34.18,142.16,38.57,100,3.36
walvis bay,8,na,82,-22.95,14.51,55.76,82,3.36
kavaratti,99,in,76,10.57,72.64,83.77,76,17.31
davila,20,ph,94,18.47,120.58,78.8,94,3.36
chokurdakh,0,ru,40,70.62,147.9,66.67,40,10.49
margate,0,za,75,-43.03,147.26,42.31,75,8.05
vologda,26,ru,68,59.22,39.89,54.07,68,6.85
